,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
387,jasper,1,US,1539311700,76,33.83,-87.28,17.2,2.86
388,huilong,12,CN,1539313086,46,28.89,110.18,17.77,1.36
389,labuhan,24,ID,1539313086,67,-2.54,115.51,30.25,0.46
390,sorland,12,NO,1539313087,94,67.67,12.69,11.62,6.16
391,sur,0,OM,1539313087,100,22.57,59.53,25.5,3.76
392,ahuimanu,90,US,1539310800,93,21.44,-157.84,26.7,4.1
393,sangmelima,68,CM,1539313088,94,2.93,11.98,20.45,1.06
394,iralaya,0,HN,1539313088,99,15.0,-83.23,26.25,1.76
395,pitea,90,SE,1539310800,93,65.32,21.48,7.0,1.0
396,polunochnoye,32,RU,1539313088,66,60.87,60.43,-0.51,4.96
397,mangrol,0,IN,1539312818,59,25.33,76.51,26.07,1.91
398,chokurdakh,80,RU,1539313089,93,70.62,147.9,-4.91,1.66
399,verkhnevilyuysk,92,RU,1539313089,96,63.45,120.31,1.57,1.41
400,altamira,12,BR,1539313089,87,-3.2,-52.21,25.75,1.31
401,kaeo,56,NZ,1539313090,70,-35.1,173.78,16.1,10.41
402,ginir,100,ET,1539313090,83,7.14,40.71,16.72,1.46
403,nemuro,75,JP,1539309600,93,43.32,145.57,14.0,1.0
404,pishin,0,PK,1539313090,55,30.58,67.0,1.75,1.51
405,piney green,75,US,1539312780,80,35.09,-78.48,24.5,3.6
406,the valley,20,AI,1539309600,83,18.22,-63.06,27.0,4.1
407,yar-sale,88,RU,1539312889,100,66.83,70.83,0.17,7.56
408,dalvik,0,SE,1539310800,87,57.79,14.13,10.0,4.6
409,bonfim,32,BR,1539313092,73,-20.33,-44.24,22.17,4.21
410,latung,0,ID,1539313092,38,-8.45,120.42,32.1,1.26
411,mehamn,75,NO,1539310800,93,71.03,27.85,5.0,2.16
412,burlington,90,CA,1539309600,66,43.32,-79.8,12.0,7.2
413,codrington,92,AU,1539313093,95,-28.95,153.24,16.57,2.86
414,lithgow,90,AU,1539311400,77,-33.48,150.16,16.0,7.7
415,nova olimpia,24,BR,1539313093,97,-14.8,-57.29,22.45,1.91
416,abu samrah,12,SY,1539313093,88,35.3,37.18,13.85,0.86
417,salantai,0,LT,1539310800,76,56.06,21.57,13.0,4.6
418,daru,36,SL,1539313094,97,7.99,-10.85,21.02,1.31
419,tema,64,GH,1539313094,100,5.66,-0.01,25.97,3.96
420,adrar,0,DZ,1539309600,43,27.87,-0.29,23.0,2.6
421,arman,90,RU,1539309600,87,59.7,150.17,7.0,1.0
422,tongren,8,CN,1539313095,58,27.72,109.18,17.82,1.96
423,urambo,56,TZ,1539313096,50,-5.07,32.07,21.62,1.81
424,tigil,80,RU,1539313096,65,57.8,158.67,9.12,5.81
425,gambissara,0,SN,1539313096,83,13.24,-14.31,25.07,3.91
426,yuxia,0,CN,1539309600,41,34.06,108.63,16.0,6.0
427,fukuma,40,JP,1539310500,45,33.77,130.47,20.0,3.1
428,soltsy,12,RU,1539313097,98,58.12,30.32,5.07,2.31
429,silopi,36,IQ,1539313097,73,37.25,42.47,13.85,1.51
430,iqaluit,20,CA,1539309600,85,63.75,-68.52,-10.0,3.6
431,acapulco,90,MX,1539308700,94,16.86,-99.88,25.0,3.6
432,chutove,0,UA,1539313098,82,49.72,35.17,4.75,4.01
433,shingu,75,JP,1539309600,55,33.72,135.99,19.0,7.7
434,armidale,80,AU,1539313099,96,-30.51,151.67,12.07,3.71
435,komsomolskiy,92,RU,1539313099,96,67.55,63.78,-0.13,7.71
436,talara,0,PE,1539313099,89,-4.58,-81.27,16.87,2.26
437,inongo,92,CD,1539313100,100,-1.93,18.29,20.12,1.86
438,manama,0,AE,1539309600,49,25.33,56.02,29.0,1.5
439,grindavik,75,IS,1539309600,81,63.84,-22.43,8.0,9.3
440,bay-khaak,64,RU,1539313101,97,51.16,94.47,3.25,1.01
441,mugur-aksy,0,RU,1539313101,47,50.38,90.44,0.12,1.16
442,poplar bluff,1,US,1539312900,71,36.76,-90.39,11.0,2.1
443,milici,75,IT,1539310800,100,38.08,15.17,22.0,2.1
444,qax,92,AZ,1539313101,100,41.42,46.93,12.27,0.76
445,diffa,0,NE,1539313102,57,13.32,12.61,21.02,1.21
446,atasu,92,KZ,1539313102,54,48.68,71.64,7.67,7.91
447,touho,48,NC,1539313102,94,-20.78,165.23,21.95,1.51
448,college,75,US,1539309480,99,64.86,-147.8,5.8,2.1
449,port-cartier,90,CA,1539312240,80,50.03,-66.88,1.0,4.6
450,southbridge,75,US,1539312180,100,42.08,-72.03,21.7,2.21
451,havelock,20,US,1539309480,76,34.88,-76.9,25.6,11.3
452,nouadhibou,20,MR,1539309600,83,20.93,-17.03,22.0,7.2
453,kathu,92,ZA,1539313104,25,-27.7,23.05,17.27,4.86
454,coahuayana,8,MX,1539313104,91,18.62,-100.35,18.62,0.96
455,san quintin,20,PH,1539309600,62,17.54,120.52,31.0,1.0
456,big spring,75,US,1539310500,72,32.25,-101.48,19.7,5.1
457,kajaani,75,FI,1539310800,100,64.22,27.73,9.0,2.1
458,wuda,0,CN,1539313105,36,39.5,106.72,11.42,1.51
459,sattahip,20,TH,1539311400,66,12.67,100.9,29.0,2.6
460,chernyshevskiy,80,RU,1539313106,91,63.01,112.47,1.67,2.66
461,kaabong,44,UG,1539313106,80,3.51,34.14,14.37,0.76
462,vangaindrano,80,MG,1539313106,99,-23.35,47.6,18.27,0.96
463,concarneau,75,FR,1539311400,93,47.88,-3.92,16.0,7.2
464,shreveport,1,US,1539311700,82,32.52,-93.77,17.2,2.41
465,barguzin,80,RU,1539313107,84,53.62,109.63,4.22,1.26
466,dalkola,92,IN,1539313107,100,25.88,87.84,22.97,3.51
467,udachnyy,36,RU,1539313107,73,66.42,112.4,-2.93,1.51
468,niihama,75,JP,1539309600,39,33.96,133.28,21.0,7.2
469,sobral,0,BR,1539313108,72,-3.69,-40.35,24.32,4.41
470,san julian,75,SV,1539312600,94,13.7,-89.56,26.0,1.0
471,kholmy,0,UA,1539313108,81,51.87,32.6,3.35,3.01
472,marigot,56,HT,1539313109,100,18.23,-72.32,26.2,0.96
473,bat yam,20,IL,1539311400,57,32.02,34.75,24.0,2.6
474,upington,0,ZA,1539309600,45,-28.46,21.24,17.0,2.1
475,kazachinskoye,24,RU,1539313109,65,57.69,93.28,3.62,2.51
476,grand forks,1,US,1539311700,92,47.91,-97.06,-5.0,1.91
477,lagoa,75,PT,1539311400,88,37.14,-8.45,21.0,1.0
478,victoria,75,BN,1539311400,70,5.28,115.24,32.0,1.5
479,mastic beach,75,US,1539310800,97,40.77,-72.85,22.2,5.56
480,muisne,0,EC,1539313111,98,0.61,-80.02,20.17,1.56
481,flinders,75,AU,1539309600,51,-34.58,150.85,17.0,6.7
482,pokhvistnevo,8,RU,1539313111,72,53.65,52.12,0.87,5.51
483,alice springs,0,AU,1539311400,32,-23.7,133.88,28.0,5.1
484,opuwo,0,NA,1539313112,62,-18.06,13.84,12.92,1.51
485,half moon bay,5,US,1539309360,55,37.46,-122.43,20.6,3.1
486,tamandare,44,BR,1539313112,93,-8.28,-70.75,23.95,0.76
487,khani,75,GE,1539309600,93,41.96,42.96,15.0,1.5
488,andros town,75,BS,1539309600,88,24.73,-77.79,26.0,2.6
489,homnabad,0,IN,1539313113,54,17.77,77.13,26.02,2.66
490,bathsheba,40,BB,1539309600,83,13.22,-59.52,28.0,3.6
491,mahebourg,20,MU,1539309600,64,-20.41,57.7,22.0,5.7
492,davila,20,PH,1539309600,62,18.47,120.58,31.0,1.0
493,alihe,0,CN,1539313114,51,50.57,123.73,13.35,2.06
494,zhezkazgan,90,KZ,1539309600,45,47.8,67.71,8.0,7.0
495,markapur,0,IN,1539313072,43,15.74,79.27,30.72,1.86
496,amga,92,RU,1539313115,81,60.89,131.98,-0.08,1.61
497,green river,75,US,1539309240,13,41.53,-109.47,2.8,5.7
498,pavlodar,0,KZ,1539309600,61,52.28,76.96,8.0,6.0
499,hokitika,64,NZ,1539313116,86,-42.72,170.96,10.25,7.61
500,tura,92,IN,1539313116,98,25.52,90.21,21.35,2.56
501,swan hill,12,AU,1539313116,51,-35.34,143.56,21.1,5.81
502,fort nelson,75,CA,1539309600,79,58.81,-122.69,0.0,1.5
503,joigny,0,FR,1539311400,87,47.98,3.4,16.0,4.1
504,boaco,80,NI,1539312822,97,12.47,-85.66,22.85,0.76
505,namibe,68,AO,1539313117,100,-15.19,12.15,20.1,3.46
506,kutum,0,SD,1539313117,27,14.2,24.66,19.12,5.61
507,fort wellington,0,GY,1539313117,97,6.4,-57.6,28.25,8.06
508,tombouctou,8,ML,1539313118,42,16.77,-3.01,22.25,1.41
509,mayor pablo lagerenza,76,PY,1539313118,82,-19.93,-60.77,23.17,1.11
510,gotsu,75,JP,1539309600,55,35.01,132.22,19.0,2.1
511,dunmore town,32,BS,1539313119,100,25.5,-76.65,28.27,5.36
512,tikaitnagar,0,IN,1539313119,71,26.95,81.58,25.72,2.01
513,huron,1,US,1539309300,17,44.36,-98.21,0.6,1.5
514,salgueiro,76,BR,1539313120,42,-8.07,-39.12,27.97,5.46
515,havre-saint-pierre,90,CA,1539309600,69,50.23,-63.6,1.0,2.6
516,usinsk,88,RU,1539313121,87,66.0,57.56,0.37,8.36
517,halifax,90,CA,1539310020,100,44.65,-63.58,9.0,6.7
518,puro,44,PH,1539313121,83,13.13,123.76,29.2,2.46
519,madison,90,US,1539311700,11,43.07,-89.38,5.0,3.1
520,longonjo,0,AO,1539313122,89,-12.91,15.25,10.2,0.96
521,baiyin,0,CN,1539309600,61,36.55,104.13,9.0,2.0
522,honningsvag,75,NO,1539310800,93,70.98,25.97,5.0,0.51
523,turukhansk,92,RU,1539313122,91,65.8,87.96,0.82,10.46
524,zilair,32,RU,1539313123,77,52.23,57.44,1.45,3.16
525,mende,100,FR,1539312842,99,44.52,3.5,13.82,2.51
526,batagay,88,RU,1539313123,83,67.65,134.64,-5.03,1.41
527,ankara,40,TR,1539310800,81,39.92,32.85,10.0,5.1
528,ormara,0,PK,1539313124,77,25.21,64.64,24.72,2.06
529,guerrero negro,92,MX,1539313124,92,27.97,-114.04,19.92,3.01
530,baykalsk,80,RU,1539313124,100,51.52,104.15,5.17,1.96
531,viedma,88,AR,1539313124,40,-40.81,-62.99,12.47,5.46
532,newport,75,GB,1539310800,87,51.59,-3.0,15.0,7.2
533,mongomo,80,GA,1539313125,98,1.63,11.31,21.47,1.06
534,okhotsk,0,RU,1539313125,92,59.36,143.24,3.7,2.31
535,mersing,56,MY,1539313126,100,2.43,103.84,27.5,3.06
536,saint anthony,40,US,1539309360,11,43.97,-111.68,6.7,2.31
537,bilma,48,NE,1539313126,26,18.69,12.92,24.35,1.86
538,xaltianguis,90,MX,1539308700,94,17.1,-99.71,25.0,3.6
539,rio grande,80,BR,1539313126,84,-32.03,-52.1,17.02,9.71
540,longyearbyen,75,NO,1539309000,88,78.22,15.63,0.0,10.8
541,banda aceh,56,ID,1539313016,95,5.56,95.32,26.5,0.86
542,darhan,0,MN,1539313127,60,49.49,105.92,10.72,2.11
543,hofn,32,IS,1539313128,97,64.25,-15.21,8.2,6.31
544,kharsia,20,IN,1539313128,92,21.99,83.11,24.95,4.46
545,lewiston,1,US,1539309360,40,46.42,-117.02,13.9,0.86
546,esil,64,KZ,1539313129,91,51.96,66.41,2.47,3.76
547,yeppoon,75,AU,1539311400,78,-23.13,150.74,24.0,3.1
548,nizhniy odes,92,RU,1539313130,84,63.64,54.86,0.92,4.31
549,monticello,90,US,1539311760,18,45.31,-93.79,1.1,2.6
550,mae sot,40,MM,1539309600,78,16.71,98.57,26.0,1.5
551,verkhoshizhemye,0,RU,1539313124,85,58.01,49.1,-1.78,5.36
552,solton,0,RU,1539313131,64,52.84,86.48,6.77,2.76
553,bay city,90,US,1539311700,100,43.59,-83.89,7.7,7.2
554,rio gallegos,40,AR,1539309600,52,-51.62,-69.22,7.0,5.7
555,luderitz,64,NA,1539309600,51,-26.65,15.16,17.0,10.8
556,guadalupe victoria,90,MX,1539309060,77,21.68,-105.33,21.0,2.1
557,virginia beach,90,US,1539311700,96,36.85,-75.98,24.4,4.6
